"sourceKey","slug","title","organizationName","type","location","state","remoteType","acceptedGradeLevels","availabilityStatus","deadline","officialSourceUrl","officialApplicationUrl","lastVerifiedAt","qualityScore","completenessScore"
"ut-southwestern-neurosurgery:observership:rolling","ut-southwestern-neurological-surgery-observership","Neurological Surgery Observership","UT Southwestern Medical Center","SHADOWING","Dallas, Texas","TX","IN_PERSON","HS_9|HS_10|HS_11|HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE|MEDICAL","ROLLING","","https://www.utsouthwestern.edu/departments/neurological-surgery/education-training/observerships.html","https://www.utsouthwestern.edu/departments/neurological-surgery/education-training/observerships.html","2026-07-19","100","96"
"houston-methodist:bridge-to-medicine-research:2026-2027","houston-methodist-bridge-to-medicine-and-research-2026-2027","Bridge to Medicine & Research Program","Houston Methodist","RESEARCH","Houston, Texas","TX","IN_PERSON","GAP_YEAR_POST_BACC","OPEN","","https://www.houstonmethodist.org/about-us/office-of-culture-and-engagement/bridge-to-medicine-and-research-program","https://www.houstonmethodist.org/about-us/office-of-culture-and-engagement/bridge-to-medicine-and-research-program","2026-07-19","91","91"
"phmc:americorps-community-health-fellowship:2026","americorps-community-health-fellowship-philadelphia-2026","AmeriCorps Community Health Fellowship","Public Health Management Corporation","PROGRAM","Philadelphia, Pennsylvania","PA","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GAP_YEAR_POST_BACC","OPEN","2026-08-31","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=112131","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=112131","2026-07-19","100","96"
"chc-inc:healthy-communities-americorps:2026-2027","healthy-communities-americorps-connecticut-2026-2027","Healthy Communities AmeriCorps","Community Health Center, Inc.","PROGRAM","Connecticut","CT","IN_PERSON","GAP_YEAR_POST_BACC","OPEN","2026-10-31","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=129329","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=129329","2026-07-19","100","96"
"goodwill-nne:windham-primary-engagement-coordinator:2026-2027","windham-primary-engagement-coordinator-2026-2027","Windham Primary Engagement Coordinator","Goodwill Northern New England","PROGRAM","Windham, Maine","ME","IN_PERSON","","OPEN","2026-09-04","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=129319","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=129319","2026-07-19","100","89"
"seattle-housing-authority:public-health-digital-navigator:2026-2027","seattle-public-health-digital-navigator-2026-2027","Public Health Digital Navigator","Seattle Housing Authority","PROGRAM","Seattle, Washington","WA","IN_PERSON","GAP_YEAR_POST_BACC","ROLLING","2027-02-01","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=119661","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=119661","2026-07-19","100","96"
"phmc:health-center-training-technical-assistance-vista:2026-2027","health-center-training-technical-assistance-vista-2026-2027","Health Center Training and Technical Assistance VISTA","Public Health Management Corporation","PROGRAM","Philadelphia, Pennsylvania","PA","HYBRID","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GAP_YEAR_POST_BACC","OPEN","2026-12-01","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=127655","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=127655","2026-07-19","100","96"
"wisconsin-association-free-charitable-clinics:community-awareness-outreach-vista:2026-2027","wisconsin-free-clinics-community-awareness-outreach-vista-2026-2027","Community Awareness & Outreach Coordinator VISTA","Wisconsin Association of Free & Charitable Clinics","PROGRAM","Wisconsin","WI","IN_PERSON","","OPEN","2027-05-14","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=129594","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=129594","2026-07-19","100","89"
"ryan-health:community-wellness-corps:2026-2027","ryan-health-community-wellness-corps-2026-2027","CHCANYS Community Wellness Corps at Ryan Health","Ryan Health","PROGRAM","New York City, New York","NY","IN_PERSON","GAP_YEAR_POST_BACC","OPEN","2027-03-31","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=115808","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=115808","2026-07-19","100","96"
"open-arms-free-clinic:vista:2026-2027","open-arms-free-clinic-vista-2026-2027","Open Arms Free Clinic VISTA","Open Arms Free Clinic","PROGRAM","Walworth County, Wisconsin","WI","IN_PERSON","","OPEN","2027-03-04","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=115275","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=115275","2026-07-19","100","89"
"ncapda:overdose-prevention-vista:2026-2027","alameda-county-overdose-prevention-vista-2026-2027","Overdose Prevention VISTA — Alameda County","National Coalition Against Prescription Drug Abuse","PROGRAM","San Ramon, California","CA","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GAP_YEAR_POST_BACC","OPEN","2026-08-10","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=125506","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=125506","2026-07-19","100","96"
"bay-area-community-resources:vista:2026-2027","bay-area-community-resources-vista-2026-2027","Bay Area Community Resources VISTA","Bay Area Community Resources","PROGRAM","El Cerrito, California","CA","IN_PERSON","","OPEN","2026-08-10","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=125535","https://my.americorps.gov/mp/listing/viewListing.do?fromSearch=true&id=125535","2026-07-19","100","89"
